,Kernel,C,Gamma,Result
0,linear,0.01,scale,0.175
1,linear,0.01,auto,0.175
2,linear,0.01,0.1,0.175
3,linear,0.01,1.0,0.175
4,linear,0.01,1.0,0.175
5,linear,0.01,10.0,0.175
6,linear,0.1,scale,0.725
7,linear,0.1,auto,0.725
8,linear,0.1,0.1,0.725
9,linear,0.1,1.0,0.725
10,linear,0.1,1.0,0.725
11,linear,0.1,10.0,0.725
12,linear,1.0,scale,0.75
13,linear,1.0,auto,0.75
14,linear,1.0,0.1,0.75
15,linear,1.0,1.0,0.75
16,linear,1.0,1.0,0.75
17,linear,1.0,10.0,0.75
18,linear,10.0,scale,0.75
19,linear,10.0,auto,0.75
20,linear,10.0,0.1,0.75
21,linear,10.0,1.0,0.75
22,linear,10.0,1.0,0.75
23,linear,10.0,10.0,0.75
24,linear,100.0,scale,0.75
25,linear,100.0,auto,0.75
26,linear,100.0,0.1,0.75
27,linear,100.0,1.0,0.75
28,linear,100.0,1.0,0.75
29,linear,100.0,10.0,0.75
30,linear,1000.0,scale,0.75
31,linear,1000.0,auto,0.75
32,linear,1000.0,0.1,0.75
33,linear,1000.0,1.0,0.75
34,linear,1000.0,1.0,0.75
35,linear,1000.0,10.0,0.75
36,poly,0.01,scale,0.2
37,poly,0.01,auto,0.2
38,poly,0.01,0.1,0.7
39,poly,0.01,1.0,0.775
40,poly,0.01,1.0,0.775
41,poly,0.01,10.0,0.775
42,poly,0.1,scale,0.45
43,poly,0.1,auto,0.275
44,poly,0.1,0.1,0.775
45,poly,0.1,1.0,0.775
46,poly,0.1,1.0,0.775
47,poly,0.1,10.0,0.775
48,poly,1.0,scale,0.575
49,poly,1.0,auto,0.15
50,poly,1.0,0.1,0.775
51,poly,1.0,1.0,0.775
52,poly,1.0,1.0,0.775
53,poly,1.0,10.0,0.775
54,poly,10.0,scale,0.775
55,poly,10.0,auto,0.3
56,poly,10.0,0.1,0.775
57,poly,10.0,1.0,0.775
58,poly,10.0,1.0,0.775
59,poly,10.0,10.0,0.775
60,poly,100.0,scale,0.775
61,poly,100.0,auto,0.575
62,poly,100.0,0.1,0.775
63,poly,100.0,1.0,0.775
64,poly,100.0,1.0,0.775
65,poly,100.0,10.0,0.775
66,poly,1000.0,scale,0.775
67,poly,1000.0,auto,0.775
68,poly,1000.0,0.1,0.775
69,poly,1000.0,1.0,0.775
70,poly,1000.0,1.0,0.775
71,poly,1000.0,10.0,0.775
72,rbf,0.01,scale,0.3
73,rbf,0.01,auto,0.275
74,rbf,0.01,0.1,0.35
75,rbf,0.01,1.0,0.225
76,rbf,0.01,1.0,0.225
77,rbf,0.01,10.0,0.225
78,rbf,0.1,scale,0.1
79,rbf,0.1,auto,0.125
80,rbf,0.1,0.1,0.225
81,rbf,0.1,1.0,0.225
82,rbf,0.1,1.0,0.225
83,rbf,0.1,10.0,0.225
84,rbf,1.0,scale,0.55
85,rbf,1.0,auto,0.175
86,rbf,1.0,0.1,0.55
87,rbf,1.0,1.0,0.375
88,rbf,1.0,1.0,0.375
89,rbf,1.0,10.0,0.225
90,rbf,10.0,scale,0.8
91,rbf,10.0,auto,0.65
92,rbf,10.0,0.1,0.625
93,rbf,10.0,1.0,0.375
94,rbf,10.0,1.0,0.375
95,rbf,10.0,10.0,0.375
96,rbf,100.0,scale,0.8
97,rbf,100.0,auto,0.75
98,rbf,100.0,0.1,0.625
99,rbf,100.0,1.0,0.375
100,rbf,100.0,1.0,0.375
101,rbf,100.0,10.0,0.375
102,rbf,1000.0,scale,0.8
103,rbf,1000.0,auto,0.75
104,rbf,1000.0,0.1,0.625
105,rbf,1000.0,1.0,0.375
106,rbf,1000.0,1.0,0.375
107,rbf,1000.0,10.0,0.375
108,sigmoid,0.01,scale,0.275
109,sigmoid,0.01,auto,0.275
110,sigmoid,0.01,0.1,0.175
111,sigmoid,0.01,1.0,0.225
112,sigmoid,0.01,1.0,0.225
113,sigmoid,0.01,10.0,0.225
114,sigmoid,0.1,scale,0.225
115,sigmoid,0.1,auto,0.125
116,sigmoid,0.1,0.1,0.125
117,sigmoid,0.1,1.0,0.125
118,sigmoid,0.1,1.0,0.125
119,sigmoid,0.1,10.0,0.1
120,sigmoid,1.0,scale,0.15
121,sigmoid,1.0,auto,0.15
122,sigmoid,1.0,0.1,0.125
123,sigmoid,1.0,1.0,0.1
124,sigmoid,1.0,1.0,0.1
125,sigmoid,1.0,10.0,0.1
126,sigmoid,10.0,scale,0.45
127,sigmoid,10.0,auto,0.4
128,sigmoid,10.0,0.1,0.125
129,sigmoid,10.0,1.0,0.1
130,sigmoid,10.0,1.0,0.1
131,sigmoid,10.0,10.0,0.1
132,sigmoid,100.0,scale,0.425
133,sigmoid,100.0,auto,0.75
134,sigmoid,100.0,0.1,0.1
135,sigmoid,100.0,1.0,0.15
136,sigmoid,100.0,1.0,0.15
137,sigmoid,100.0,10.0,0.15
138,sigmoid,1000.0,scale,0.25
139,sigmoid,1000.0,auto,0.75
140,sigmoid,1000.0,0.1,0.1
141,sigmoid,1000.0,1.0,0.15
142,sigmoid,1000.0,1.0,0.15
143,sigmoid,1000.0,10.0,0.15
