,Kernel,C,Gamma,Result
0,linear,0.01,scale,0.9083969465648855
1,linear,0.01,auto,0.9083969465648855
2,linear,0.01,0.1,0.9083969465648855
3,linear,0.01,1.0,0.9083969465648855
4,linear,0.01,1.0,0.9083969465648855
5,linear,0.01,10.0,0.9083969465648855
6,linear,0.1,scale,0.8931297709923665
7,linear,0.1,auto,0.8931297709923665
8,linear,0.1,0.1,0.8931297709923665
9,linear,0.1,1.0,0.8931297709923665
10,linear,0.1,1.0,0.8931297709923665
11,linear,0.1,10.0,0.8931297709923665
12,linear,1.0,scale,0.8931297709923665
13,linear,1.0,auto,0.8931297709923665
14,linear,1.0,0.1,0.8931297709923665
15,linear,1.0,1.0,0.8931297709923665
16,linear,1.0,1.0,0.8931297709923665
17,linear,1.0,10.0,0.8931297709923665
18,linear,10.0,scale,0.8931297709923665
19,linear,10.0,auto,0.8931297709923665
20,linear,10.0,0.1,0.8931297709923665
21,linear,10.0,1.0,0.8931297709923665
22,linear,10.0,1.0,0.8931297709923665
23,linear,10.0,10.0,0.8931297709923665
24,linear,100.0,scale,0.8931297709923665
25,linear,100.0,auto,0.8931297709923665
26,linear,100.0,0.1,0.8931297709923665
27,linear,100.0,1.0,0.8931297709923665
28,linear,100.0,1.0,0.8931297709923665
29,linear,100.0,10.0,0.8931297709923665
30,linear,1000.0,scale,0.8931297709923665
31,linear,1000.0,auto,0.8931297709923665
32,linear,1000.0,0.1,0.8931297709923665
33,linear,1000.0,1.0,0.8931297709923665
34,linear,1000.0,1.0,0.8931297709923665
35,linear,1000.0,10.0,0.8931297709923665
36,poly,0.01,scale,0.35877862595419846
37,poly,0.01,auto,0.29770992366412213
38,poly,0.01,0.1,0.8931297709923665
39,poly,0.01,1.0,0.8931297709923665
40,poly,0.01,1.0,0.8931297709923665
41,poly,0.01,10.0,0.8931297709923665
42,poly,0.1,scale,0.48091603053435117
43,poly,0.1,auto,0.35877862595419846
44,poly,0.1,0.1,0.8931297709923665
45,poly,0.1,1.0,0.8931297709923665
46,poly,0.1,1.0,0.8931297709923665
47,poly,0.1,10.0,0.8931297709923665
48,poly,1.0,scale,0.6030534351145038
49,poly,1.0,auto,0.48091603053435117
50,poly,1.0,0.1,0.8931297709923665
51,poly,1.0,1.0,0.8931297709923665
52,poly,1.0,1.0,0.8931297709923665
53,poly,1.0,10.0,0.8931297709923665
54,poly,10.0,scale,0.8396946564885496
55,poly,10.0,auto,0.5877862595419847
56,poly,10.0,0.1,0.8931297709923665
57,poly,10.0,1.0,0.8931297709923665
58,poly,10.0,1.0,0.8931297709923665
59,poly,10.0,10.0,0.8931297709923665
60,poly,100.0,scale,0.8702290076335878
61,poly,100.0,auto,0.8244274809160306
62,poly,100.0,0.1,0.8931297709923665
63,poly,100.0,1.0,0.8931297709923665
64,poly,100.0,1.0,0.8931297709923665
65,poly,100.0,10.0,0.8931297709923665
66,poly,1000.0,scale,0.8931297709923665
67,poly,1000.0,auto,0.8702290076335878
68,poly,1000.0,0.1,0.8931297709923665
69,poly,1000.0,1.0,0.8931297709923665
70,poly,1000.0,1.0,0.8931297709923665
71,poly,1000.0,10.0,0.8931297709923665
72,rbf,0.01,scale,0.2900763358778626
73,rbf,0.01,auto,0.2900763358778626
74,rbf,0.01,0.1,0.2900763358778626
75,rbf,0.01,1.0,0.2900763358778626
76,rbf,0.01,1.0,0.2900763358778626
77,rbf,0.01,10.0,0.2900763358778626
78,rbf,0.1,scale,0.2900763358778626
79,rbf,0.1,auto,0.2900763358778626
80,rbf,0.1,0.1,0.2900763358778626
81,rbf,0.1,1.0,0.2900763358778626
82,rbf,0.1,1.0,0.2900763358778626
83,rbf,0.1,10.0,0.2900763358778626
84,rbf,1.0,scale,0.732824427480916
85,rbf,1.0,auto,0.6412213740458015
86,rbf,1.0,0.1,0.6870229007633588
87,rbf,1.0,1.0,0.32061068702290074
88,rbf,1.0,1.0,0.32061068702290074
89,rbf,1.0,10.0,0.32061068702290074
90,rbf,10.0,scale,0.8854961832061069
91,rbf,10.0,auto,0.8931297709923665
92,rbf,10.0,0.1,0.732824427480916
93,rbf,10.0,1.0,0.3511450381679389
94,rbf,10.0,1.0,0.3511450381679389
95,rbf,10.0,10.0,0.32061068702290074
96,rbf,100.0,scale,0.8854961832061069
97,rbf,100.0,auto,0.8931297709923665
98,rbf,100.0,0.1,0.732824427480916
99,rbf,100.0,1.0,0.3511450381679389
